text,label
i accidentally made a payment to a wrong account. what should i do?,cancel_transfer
"i no longer want to transfer funds, can we cancel that transaction?",cancel_transfer
"cancel my transfer, please.",cancel_transfer
i want to revert this mornings transaction.,cancel_transfer
i just realised i made the wrong payment yesterday. can you please change it to the right account? it's my rent payment and really really needs to be in the right account by tomorrow,cancel_transfer
i want to cancel a transaction from this morning.,cancel_transfer
i need to stop a transaction that i made.,cancel_transfer
can i stop a transaction?,cancel_transfer
how can i cancel a transfer i made,cancel_transfer
i'm really upset because i made a typo during a transfer and now i've sent money to the wrong account.  i can't fix this with the app.  please help me immediately!,cancel_transfer
cancel a transaction,cancel_transfer
help me cancel a transaction.,cancel_transfer
how can i cancel my transfer?,cancel_transfer
"hey i need help urgently. i just realised i sent my payment to the wrong account number, there is a typo! please cancel it immediately, i can't do it anymore from the app",cancel_transfer
i need help as fast as possible! i made a mistake on my most recent transfer; can you please stop it before it goes through?,cancel_transfer
"i have arranged a transfer, but no longer need to send it. how do i stop the transfer?",cancel_transfer
"i needed to make a payment on my account, but i typed in the incorrect number.  the app won't allow me to cancel this transaction.  i need it cancelled asap!!",cancel_transfer
i need to change a transfer.,cancel_transfer
i need to cancel my recent transfer quickly since i made a mistake. please help before it goes through.,cancel_transfer
i made a terrible mistake when typing in my account number.  i accidently sent money to the wrong account.  i noticed the app won't allow me to void the transaction.  can someone help me with this immediately?,cancel_transfer
my transaction from earlier needs to be reversed.,cancel_transfer
how can i revert a transaction from this morning?,cancel_transfer
i just realized i made the wrong transaction  yesterday. would  you please make it correct?i need it by tomorrow.,cancel_transfer
"i made a transaction, but i made it to an account i didn't mean to make it to.",cancel_transfer
i made a mistake this morning when i did a transfer. how do i reverse it?,cancel_transfer
i wish to cancel a transfer,cancel_transfer
i made a mistake and need to cancel a transfer.,cancel_transfer
"my transfer was wrong, are you able to stop it before it goes through please?",cancel_transfer
please help me!  a payment i made had an error on the account number and i can't cancel on my side.  can you cancel it?,cancel_transfer
is there any way to cancel my transfer,cancel_transfer
what do i need to do to cancel a transaction?,cancel_transfer
i wanna revert a transaction i did this morning.,cancel_transfer
is it possible to cancel a transaction?,cancel_transfer
"i made a mistake of transferring, can i cancel my previous transfer?",cancel_transfer
please help!  the app won't let me cancel a money transfer.  i accidently sent money to an account that wasn't mine.  i need this cancelled immediately.,cancel_transfer
i have a transaction and would like to know if i it's cancelable?,cancel_transfer
i am trying to revert a transcation i did this morning,cancel_transfer
